Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851852
MLP_Deep,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9973544973544973
Logistic Regression,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.996031746031746
SVC (RBF),0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9957010582010583
XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9950396825396826
KNN (k=5),0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9948743386243386
MLP_Basic,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9937169312169312
Gradient Boosting,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9930555555555556
CNN_1D,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9831349206349207
